Source,Target
190437687666949,327645207314914
190437687666949,154646461270111
190437687666949,71786671104
190437687666949,162479560456460
190437687666949,13673457388
190437687666949,173114959365654
190437687666949,150372665031994
190437687666949,107367862686045
190437687666949,252862098066707
190437687666949,100404923403447
190437687666949,107420889303052
190437687666949,438981005612
190437687666949,146884525345606
190437687666949,51491238316
190437687666949,287919728207
190437687666949,176684735737482
577811938978337,155416681561473
577811938978337,1520320528244510
577811938978337,183310241866022
577811938978337,145263685503930
577811938978337,430469330338505
577811938978337,336289923051120
577811938978337,382896715220996
577811938978337,379915922194
577811938978337,179387442263186
577811938978337,143606388988951
577811938978337,211095382256023
577811938978337,1428154470755600
577811938978337,126545974046623
105090206230520,575767775785978
105090206230520,179159599133516
105090206230520,283048951715725
105090206230520,356717624483230
105090206230520,1508766892776110
105090206230520,165878254250
105090206230520,51491238316
105090206230520,110639758966172
105090206230520,112836955449317
105090206230520,184799898383020
105090206230520,111075825707322
105090206230520,110927062314926
105090206230520,34767149008
105090206230520,174740812656171
457934517637126,549509338432981
457934517637126,112791451329
457934517637126,573553349394917
457934517637126,975625902474015
457934517637126,1500340693610640
457934517637126,168667939825585
457934517637126,666970026670169
457934517637126,189630894447191
457934517637126,424654781032805
457934517637126,255646367839313
457934517637126,366793718674
457934517637126,220298954777755
457934517637126,259698320748711
457934517637126,124283100972683
457934517637126,195923199514
457934517637126,1408474549421290
457934517637126,208966514625
457934517637126,386825991372921
457934517637126,559557240735760
457934517637126,132935556857032
457934517637126,405896269476707
457934517637126,291981867486977
457934517637126,136086673179064
457934517637126,104720489592134
457934517637126,352349034893536
457934517637126,253055251379467
457934517637126,95703172152
457934517637126,1391129074436640
457934517637126,247384368765037
457934517637126,116750115017682
457934517637126,134959030033481
457934517637126,94464477883
457934517637126,151844091545900
457934517637126,122664021095983
457934517637126,150009538357152
457934517637126,140366126034883
457934517637126,112836955449317
457934517637126,136659463030729
457934517637126,647532281927341
457934517637126,136418573191820
457934517637126,157797730980547
457934517637126,472275292854526
457934517637126,110639758966172
457934517637126,449881680467
457934517637126,682465328448639
457934517637126,357413301003224
457934517637126,425425190912249
457934517637126,309849335755951
457934517637126,542996135760195
457934517637126,142456715777578
457934517637126,247690881960257
457934517637126,190437687666949
457934517637126,165878254250
457934517637126,465497383472861
457934517637126,226380994085115
457934517637126,1404150473144190
457934517637126,141694022580568
457934517637126,127128043964568
457934517637126,129905873750569
457934517637126,100722800080864
457934517637126,415305528485825
457934517637126,164814586897879
457934517637126,226130625557
457934517637126,283048951715725
457934517637126,159411297001
457934517637126,80303969429
457934517637126,205879976105633
457934517637126,110767978989316
457934517637126,195914850440307
457934517637126,114325988648006
457934517637126,61213649618
457934517637126,126545974046623
457934517637126,205095032857458
457934517637126,181200461932644
457934517637126,182418898478863
457934517637126,34767149008
457934517637126,51491238316
1404150473144190,784768128211894
1404150473144190,175326165978876
1404150473144190,292553770900237
1404150473144190,267399839949060
1404150473144190,1699941553551220
1404150473144190,1415110132035990
1404150473144190,948078981909951
