id,label,timeset,fan_count,category,username,users_can_post,link,post_activity,talking_about_count
132374108822,Enlace Ambiental México A.C.,,4820,Non-Profit Organization,enlaceambientalmexico,yes,https://www.facebook.com/enlaceambientalmexico/,0.01,665
135393903285111,Bahidorá,,49059,Concert Tour,Bahidora,yes,https://www.facebook.com/Bahidora/,0.01,4025
608784065801101,CLUBZ,,15454,Musician/Band,clubzclubz,yes,https://www.facebook.com/clubzclubz/,0.05,967
181412735400683,Conexion Beach Festival,,26758,Travel/Leisure,ConexionBeachFestival,yes,https://www.facebook.com/ConexionBeachFestival/,0.02,26
200059077190,Torreblanca,,186302,Musician/Band,torreblancaoficial,yes,https://www.facebook.com/torreblancaoficial/,0.05,2521
530659393696506,Tropical-fans de Caloncho :,,1223,Community,,yes,https://www.facebook.com/Tropical-fans-de-Caloncho--530659393696506/,0.0,2
119059711491243,RBMA Radio Panamérika,,26382,Website,RedBullPanamerika,yes,https://www.facebook.com/RedBullPanamerika/,0.16,233
165057050177728,Little Jesus,,70869,Musician/Band,thelittlejesus,yes,https://www.facebook.com/thelittlejesus/,0.11,5335
122431387777348,Loud Entertainment Productions,,13650,Company,loudeproducciones,yes,https://www.facebook.com/loudeproducciones/,0.1,740
319154378185055,Alejandro Muñiz,,2302,Musician/Band,AlejandroMunizmusic,yes,https://www.facebook.com/AlejandroMunizmusic/,0.0,2
175372895904458,Chela,,29854,Artist,chelaetc,yes,https://www.facebook.com/chelaetc/,0.02,158
636312433065865,NOCHEZTLI Festival de las Artes,,19842,Performance Venue,nocheztliautlan,yes,https://www.facebook.com/nocheztliautlan/,0.01,1124
14624470515,Vive Latino,,1302782,Arts & Entertainment,festivalvivelatino,yes,https://www.facebook.com/festivalvivelatino/,0.21,49730
226890294132832,Zanka Fest,,3662,Community,zankafest,yes,https://www.facebook.com/zankafest/,0.0,4
182192301986673,Caloncho Fans Quintana Roo,,1096,Musician/Band,calonchisFans,yes,https://www.facebook.com/calonchisFans/,0.0,12
227985437361132,Morbous Mind,,293,Artist,morbousmind,yes,https://www.facebook.com/morbousmind/,0.0,0
139691179420170,Jazmín Solar,,10050,Musician/Band,jazminsolaroficial,yes,https://www.facebook.com/jazminsolaroficial/,0.02,524
314733131972106,Parallel,,2645,Consulting/Business Service,byparallel,yes,https://www.facebook.com/byparallel/,0.0,3
183348628345492,Poolside,,46849,Musician/Band,poolside,yes,https://www.facebook.com/poolside/,0.02,124
104045256308146,Me Hace Ruido,,32525,News/Media Website,MeHaceRuido,yes,https://www.facebook.com/MeHaceRuido/,0.23,238
176052272580780,Calonchoamantes,,403,Community,CalonchoFans,yes,https://www.facebook.com/CalonchoFans/,0.0,2
154872104568553,Discoteca Formación,,22018,Education,DiscotecaOnline,no,https://www.facebook.com/DiscotecaOnline/,0.03,788
102557156512418,Ripper Photography,,2221,Artist,RipperPhotography,yes,https://www.facebook.com/RipperPhotography/,0.01,17
